"   ","TRANSPORTCORPSID","DEPTID","TRANSPORTCORPSCD","TRANSPORTCORPSNAME","REMARK","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","R_RECORD_CHANGE_FLAG"
"1","003","0101","FH","丰海","","2014/2/7","010001","","","0",""
"2","004","0101","LL1","良力","","2014/2/7","010001","","","0",""
"3","005","0101","LX","隆兴","","2014/2/7","010001","","","0",""
"4","006","0101","QY","泉源","","2014/2/7","010001","","","0",""
"5","007","0101","GM","广明","","2014/2/7","010001","","","0",""
"6","008","0101","BQ","宝强","","2014/2/7","010001","","","0",""
"7","009","0101","XZX","新招贤","","2014/2/7","010001","","","0",""
"8","010","0101","JY2","佳豫","","2014/2/7","010001","","","0",""
"9","011","0101","yb","杨北","","2014/2/7","010001","","","0",""
"10","012","0101","PH","普汇","","2014/2/7","010001","","","0",""
"11","013","0101","ZY","子洋","","2014/2/7","010001","","","0",""
"12","014","0101","TH1","通豪","","2014/2/7","010001","","","0",""
"13","015","0101","sn","淞南","","2014/2/7","010001","","","0",""
"14","016","0101","HB","航宝","","2014/2/7","010001","","","0",""
"15","017","0101","DB","大宝","","2014/2/7","010001","","","0",""
"16","018","0101","PY11","浦盈","","2014/2/7","010001","","","0",""
"17","019","0101","xyc","兴义车队","","2014/2/7","010001","","","0",""
"18","020","0101","YD","远东","","2014/2/7","010001","","","0",""
"19","021","0101","PY","普运","","2014/2/7","010001","","","0",""
"20","022","0101","TS","泰山物流","","2014/2/7","010001","","","0",""
"21","023","0101","CF","畅飞","","2014/2/7","010001","","","0",""
"22","024","0101","AX","安旭","","2014/2/7","010001","","","0",""
"23","025","0101","JY","佳怡","","2014/2/7","010001","","","0",""
"24","026","0101","JL","锦亮","","2014/2/7","010001","","","0",""
"25","027","0101","BG","百钢","","2014/2/7","010001","","","0",""
"26","028","0101","jycd","吉云","","2014/2/7","010001","","","0",""
